harness	set	source	claim
checked_encoded_len_is_bounded_for_small_inputs	normal	src/kani_proofs.rs	legacy checked encoded-length arithmetic
decoded_capacity_is_bounded_for_small_inputs	normal	src/kani_proofs.rs	legacy decoded-capacity arithmetic
validated_alphabet_constructor_indexing_is_bounded	normal	src/kani_proofs.rs	runtime alphabet constructor cursor bounds
validated_alphabet_position_establishes_symbol_invariants	normal	src/kani_proofs.rs	runtime alphabet visible non-padding unique symbols
standard_in_place_decode_returns_prefix_within_buffer	normal	src/kani_proofs.rs	legacy in-place decode bounds
standard_decode_slice_returns_written_within_output	normal	src/kani_proofs.rs	legacy slice decode bounds
standard_decode_backend_matches_scalar_for_one_quantum	normal	src/kani_proofs.rs	legacy backend scalar refinement
standard_decode_chunk_returns_written_within_output	normal	src/kani_proofs.rs	legacy quantum decode bounds
standard_decode_chunk_bit_packing_matches_decoded_values	normal	src/kani_proofs.rs	legacy scalar bit packing
standard_validate_tail_unpadded_accepts_or_rejects_without_panic	normal	src/kani_proofs.rs	legacy unpadded-tail classification
standard_decode_two_byte_tail_returns_written_within_output	normal	src/kani_proofs.rs	legacy two-symbol tail bounds
standard_decode_three_byte_tail_returns_written_within_output	normal	src/kani_proofs.rs	legacy three-symbol tail bounds
standard_decode_slice_clear_tail_clears_output_on_error	normal	src/kani_proofs.rs	legacy slice cleanup on error
standard_encode_slice_returns_written_within_output	normal	src/kani_proofs.rs	legacy slice encode bounds
one_shot_standard_encode_is_exact_and_bounded	normal	src/kani_proofs.rs	2.0 one-shot bounded encode length
bounded_array_visible_length_is_checked	normal	src/kani_proofs.rs	2.0 bounded-array initialized prefix
const_standard_encode_is_exact_and_bounded	normal	src/kani_proofs.rs	2.0 const encode arithmetic
incremental_standard_encoder_progress_and_state_are_bounded	normal	src/kani_proofs.rs	2.0 encoder queue and progress bounds
incremental_standard_encoder_finish_is_bounded	normal	src/kani_proofs.rs	2.0 encoder finish bounds
incremental_padded_decoder_progress_and_retry_are_bounded	normal	src/kani_proofs.rs	2.0 padded decoder retry bounds
incremental_unpadded_decoder_finish_and_retry_are_bounded	normal	src/kani_proofs.rs	2.0 unpadded decoder finalization bounds
standard_encode_in_place_returns_prefix_within_buffer	normal	src/kani_proofs.rs	legacy in-place encode bounds
standard_clear_tail_decode_clears_buffer_on_error	normal	src/kani_proofs.rs	legacy in-place cleanup on error
ct_standard_decode_slice_returns_written_within_output	normal	src/kani_proofs.rs	constant-time decode output bounds
ct_standard_decode_slice_clear_tail_clears_output_on_error	normal	src/kani_proofs.rs	constant-time slice cleanup on error
ct_standard_decode_in_place_clear_tail_clears_buffer_on_error	normal	src/kani_proofs.rs	constant-time in-place cleanup on error
ct_standard_validate_matches_decode_for_one_quantum	normal	src/kani_proofs.rs	constant-time validation and decode agreement
reverse_in_place_encode_never_overwrites_unread_input	normal	src/kani_in_place_proofs.rs	2.0 reverse overlap cursor safety
forward_in_place_decode_writes_only_consumed_prefixes	normal	src/kani_in_place_proofs.rs	2.0 forward overlap cursor safety
strict_aliases_select_the_exported_policies	normal	src/kani_v2_core_proofs.rs	strict top-level alias identity
final_core_encoded_lengths_match_independent_formula	normal	src/kani_v2_core_proofs.rs	strict preset encoded-length formulas
runtime_policy_product_is_validated_before_use	normal	src/kani_v2_core_proofs.rs	runtime policy product validation
incremental_encode_refines_independent_oracle	normal	src/kani_v2_core_proofs.rs	incremental encode RFC model refinement
in_place_range_preflight_matches_mathematical_overlap	normal	src/kani_v2_core_proofs.rs	in-place address and overlap preflight
incremental_finalization_retries_make_bounded_progress	normal	src/kani_v2_core_proofs.rs	incremental finalization monotonic progress
portable_simd_block_transform_round_trips_all_input_bits	normal	src/kani_simd_model_proofs.rs	portable SIMD block arithmetic
portable_simd_ascii_classifier_is_bijective_per_lane	normal	src/kani_simd_model_proofs.rs	portable SIMD lane classifier
portable_simd_validity_mask_requires_every_active_lane	normal	src/kani_simd_model_proofs.rs	portable SIMD all-lane validity reduction
portable_simd_wrapper_cursors_are_bounded_for_every_backend_width	normal	src/kani_simd_model_proofs.rs	portable SIMD wrapper lengths and cursors
caller_visible_commit_never_exceeds_initialized_bytes	normal	src/kani_simd_model_proofs.rs	initialized-before-visible commit model
standard_alphabet_lookup_refines_symbol_position	normal	src/kani_v2_core_proofs.rs	standard alphabet decode lookup position
url_safe_alphabet_lookup_refines_symbol_position	normal	src/kani_v2_core_proofs.rs	URL-safe alphabet decode lookup position
production_decode_packing_refines_independent_formula	normal	src/kani_v2_core_proofs.rs	production full-quantum decode packing formula
advanced_public_strict_decode_surfaces_do_not_panic_for_bounded_inputs	advanced	src/kani_proofs.rs	bounded strict public decode surfaces
strict_standard_padded_encode_refines_independent_oracle	advanced	src/kani_v2_core_proofs.rs	strict standard padded encode RFC refinement
strict_standard_unpadded_encode_refines_independent_oracle	advanced	src/kani_v2_core_proofs.rs	strict standard unpadded encode RFC refinement
strict_url_safe_padded_encode_refines_independent_oracle	advanced	src/kani_v2_core_proofs.rs	strict URL-safe padded encode RFC refinement
strict_url_safe_unpadded_encode_refines_independent_oracle	advanced	src/kani_v2_core_proofs.rs	strict URL-safe unpadded encode RFC refinement
strict_tail_predicates_match_rfc_canonical_masks	advanced	src/kani_v2_core_proofs.rs	strict canonical-tail mask predicates
incremental_decode_matches_rfc_known_answer_all_tail_lengths	exploratory	src/kani_v2_core_proofs.rs	incremental decode RFC known answer over all tails; exceeds release memory bound
in_place_encode_decode_matches_rfc_known_answer_all_tail_lengths	exploratory	src/kani_v2_core_proofs.rs	in-place RFC known answer over all tails; exceeds release memory bound
in_place_validation_error_rolls_back_complete_buffer	exploratory	src/kani_v2_core_proofs.rs	in-place validation rollback; production validation exceeds release memory bound
validated_builtin_alphabet_is_a_runtime_builder_fixed_point	advanced	src/kani_v2_core_proofs.rs	validated alphabet constructor fixed point
secret_frame_never_releases_more_than_its_bound	advanced	src/kani_secret_proofs.rs	secret frame bounded release
secret_frame_rejects_oversized_input_before_scanning	advanced	src/kani_secret_proofs.rs	secret frame pre-scan limit
borrowed_secret_frame_writes_public_output_only_after_valid_gate	exploratory	src/kani_secret_proofs.rs	secret frame release gate and cleanup; fixed-work expansion exceeds release memory bound
secret_encoder_final_quantum_output_is_bounded	advanced	src/kani_secret_encode_proofs.rs	secret encoder final-quantum bounds
secret_encoder_rejects_oversized_input_absorbingly	advanced	src/kani_secret_encode_proofs.rs	secret encoder absorbing size failure
secret_encoder_overlap_preflight_fails_closed	advanced	src/kani_secret_encode_proofs.rs	secret encoder overlap preflight
closed_requires_all_four_teardown_axes	advanced	src/kani_assurance_proofs.rs	four-axis teardown closure
quarantine_preserves_exact_pending_stage_and_wipe_evidence	advanced	src/kani_assurance_proofs.rs	quarantine stage and wipe evidence
journal_never_replays_applied_or_indeterminate_operation	advanced	src/kani_assurance_proofs.rs	journal non-idempotent replay rejection
generation_termination_rejects_every_old_operation_identity	advanced	src/kani_assurance_proofs.rs	provider generation and ABA rejection
accounting_transition_applies_exactly_once	advanced	src/kani_assurance_proofs.rs	exactly-once accounting
tombstone_identity_never_retains_addressable_ownership	advanced	src/kani_assurance_proofs.rs	non-owning tombstone identity
bounded_journal_progress_is_monotonic	advanced	src/kani_assurance_proofs.rs	bounded monotonic journal progress
advanced_wrapped_standard_decode_slice_returns_written_within_output	exploratory	src/kani_proofs.rs	wrapped decode bounds with known high resource cost
advanced_wrapped_standard_decode_clear_tail_clears_output_on_error	exploratory	src/kani_proofs.rs	wrapped cleanup with known high resource cost
