schema_version,backend,operation,alphabet,padding,input_len,target_arch,target_os,median_throughput_mib_s,scalar_median_throughput_mib_s,ratio_to_scalar,status
1,auto,decode,standard,padded,1,x86_64,linux,69.540093,103.977954,0.668797,non-admissible-below-scalar
1,auto,decode,standard,padded,1024,x86_64,linux,144.139476,309.596908,0.465571,non-admissible-below-scalar
1,avx2,decode,standard,padded,1024,x86_64,linux,112.578335,309.596908,0.363629,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,padded,1024,x86_64,linux,143.977835,309.596908,0.465049,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,1024,x86_64,linux,79.411004,309.596908,0.256498,non-admissible-below-scalar
1,auto,decode,standard,padded,11,x86_64,linux,64.127664,276.273331,0.232117,non-admissible-below-scalar
1,auto,decode,standard,padded,12,x86_64,linux,70.859133,289.215341,0.245005,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,12,x86_64,linux,71.686221,289.215341,0.247865,non-admissible-below-scalar
1,auto,decode,standard,padded,15,x86_64,linux,81.793612,294.881295,0.277378,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,15,x86_64,linux,82.697586,294.881295,0.280444,non-admissible-below-scalar
1,auto,decode,standard,padded,16,x86_64,linux,82.409109,284.236984,0.289931,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,16,x86_64,linux,83.780449,284.236984,0.294756,non-admissible-below-scalar
1,auto,decode,standard,padded,2,x86_64,linux,121.759403,170.392247,0.714583,non-admissible-below-scalar
1,auto,decode,standard,padded,23,x86_64,linux,96.672094,286.511541,0.337411,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,23,x86_64,linux,69.442895,286.511541,0.242374,non-admissible-below-scalar
1,auto,decode,standard,padded,24,x86_64,linux,103.533836,301.593747,0.343289,non-admissible-below-scalar
1,avx2,decode,standard,padded,24,x86_64,linux,104.999324,301.593747,0.348148,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,24,x86_64,linux,74.430106,301.593747,0.246789,non-admissible-below-scalar
1,auto,decode,standard,padded,3,x86_64,linux,161.945651,220.180370,0.735514,non-admissible-below-scalar
1,auto,decode,standard,padded,31,x86_64,linux,115.075680,278.205291,0.413636,non-admissible-below-scalar
1,avx2,decode,standard,padded,31,x86_64,linux,117.848118,278.205291,0.423601,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,31,x86_64,linux,87.115110,278.205291,0.313132,non-admissible-below-scalar
1,auto,decode,standard,padded,32,x86_64,linux,118.831774,278.708676,0.426366,non-admissible-below-scalar
1,avx2,decode,standard,padded,32,x86_64,linux,119.299282,278.708676,0.428043,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,32,x86_64,linux,88.707819,278.708676,0.318282,non-admissible-below-scalar
1,auto,decode,standard,padded,47,x86_64,linux,134.388553,304.176709,0.441811,non-admissible-below-scalar
1,avx2,decode,standard,padded,47,x86_64,linux,104.550068,304.176709,0.343715,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,47,x86_64,linux,74.047463,304.176709,0.243436,non-admissible-below-scalar
1,auto,decode,standard,padded,48,x86_64,linux,137.603760,307.296849,0.447788,non-admissible-below-scalar
1,avx2,decode,standard,padded,48,x86_64,linux,107.753406,307.296849,0.350649,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,padded,48,x86_64,linux,141.363889,307.296849,0.460024,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,48,x86_64,linux,74.429160,307.296849,0.242206,non-admissible-below-scalar
1,auto,decode,standard,padded,63,x86_64,linux,116.323762,316.336460,0.367722,non-admissible-below-scalar
1,avx2,decode,standard,padded,63,x86_64,linux,98.783067,316.336460,0.312272,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,padded,63,x86_64,linux,117.630724,316.336460,0.371853,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,63,x86_64,linux,79.331383,316.336460,0.250782,non-admissible-below-scalar
1,auto,decode,standard,padded,64,x86_64,linux,115.363036,292.930171,0.393824,non-admissible-below-scalar
1,avx2,decode,standard,padded,64,x86_64,linux,97.785921,292.930171,0.333820,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,padded,64,x86_64,linux,116.345586,292.930171,0.397179,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,64,x86_64,linux,80.117807,292.930171,0.273505,non-admissible-below-scalar
1,auto,decode,standard,padded,65536,x86_64,linux,146.710184,311.681636,0.470705,non-admissible-below-scalar
1,avx2,decode,standard,padded,65536,x86_64,linux,113.412484,311.681636,0.363873,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,padded,65536,x86_64,linux,148.403175,311.681636,0.476137,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,65536,x86_64,linux,78.853551,311.681636,0.252994,non-admissible-below-scalar
1,auto,decode,standard,unpadded,1,x86_64,linux,72.574601,115.528981,0.628194,non-admissible-below-scalar
1,auto,decode,standard,unpadded,1024,x86_64,linux,148.348978,289.991261,0.511564,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,1024,x86_64,linux,115.326314,289.991261,0.397689,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,unpadded,1024,x86_64,linux,148.519914,289.991261,0.512153,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,1024,x86_64,linux,79.966992,289.991261,0.275757,non-admissible-below-scalar
1,auto,decode,standard,unpadded,11,x86_64,linux,235.851238,260.711059,0.904646,non-admissible-below-scalar
1,auto,decode,standard,unpadded,12,x86_64,linux,69.150203,268.538535,0.257506,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,12,x86_64,linux,70.328356,268.538535,0.261893,non-admissible-below-scalar
1,auto,decode,standard,unpadded,15,x86_64,linux,81.158577,275.015281,0.295106,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,15,x86_64,linux,82.228286,275.015281,0.298995,non-admissible-below-scalar
