schema_version,campaign_id,run_id,sample_index,engine,operation,alphabet,padding,input_len,encoded_len,iterations,elapsed_ns,throughput_mib_s,backend,active_encode_backend,active_decode_backend,target_arch,target_os,allocation_count
1,commit-3-amd-9950x3d,run-2,0,base64-ng,encode,standard,padded,1,4,4194304,27318925,146.418646,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,1,base64-ng,encode,standard,padded,1,4,4194304,27255335,146.760258,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,2,base64-ng,encode,standard,padded,1,4,4194304,27031845,147.973621,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,3,base64-ng,encode,standard,padded,1,4,4194304,26642582,150.135599,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,4,base64-ng,encode,standard,padded,1,4,4194304,26917499,148.602216,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,0,base64-ng,decode,standard,padded,1,4,4194304,57352580,69.744029,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,1,base64-ng,decode,standard,padded,1,4,4194304,57122928,70.024422,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,2,base64-ng,decode,standard,padded,1,4,4194304,57234128,69.888371,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,3,base64-ng,decode,standard,padded,1,4,4194304,56894017,70.306162,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,4,base64-ng,decode,standard,padded,1,4,4194304,57283080,69.828647,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,0,base64-ng,encode,standard,padded,1,4,4194304,26260061,152.322571,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,1,base64-ng,encode,standard,padded,1,4,4194304,26245144,152.409147,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,2,base64-ng,encode,standard,padded,1,4,4194304,26228132,152.508002,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-3-amd-9950x3d,run-2,3,base64-ng,encode,standard,padded,1,4,4194304,26235635,152.464387,scalar,avx512-vbmi,avx512-vbmi,x86_64,linux,0
