schema_version,engine,operation,alphabet,padding,input_len,backend,target_arch,target_os,sample_count,median_throughput_mib_s,minimum_throughput_mib_s,maximum_throughput_mib_s
1,base64-0.23.0,decode,standard,padded,1,external,x86_64,linux,10,76.209742,74.968432,77.318016
1,base64-0.23.0,decode,standard,padded,1024,external,x86_64,linux,10,3929.616637,3903.432972,3939.132524
1,base64-0.23.0,decode,standard,padded,11,external,x86_64,linux,10,692.713561,678.641106,709.346965
1,base64-0.23.0,decode,standard,padded,12,external,x86_64,linux,10,755.309882,746.714581,764.525557
1,base64-0.23.0,decode,standard,padded,15,external,x86_64,linux,10,881.429093,841.969213,899.068493
1,base64-0.23.0,decode,standard,padded,16,external,x86_64,linux,10,910.542840,904.004037,923.428607
1,base64-0.23.0,decode,standard,padded,2,external,x86_64,linux,10,152.001681,146.595705,152.604010
1,base64-0.23.0,decode,standard,padded,23,external,x86_64,linux,10,1165.784880,1135.308045,1192.454814
1,base64-0.23.0,decode,standard,padded,24,external,x86_64,linux,10,1201.504692,1178.295925,1222.508653
1,base64-0.23.0,decode,standard,padded,3,external,x86_64,linux,10,224.340594,218.630197,225.023347
1,base64-0.23.0,decode,standard,padded,31,external,x86_64,linux,10,1481.036953,1440.397790,1517.909906
1,base64-0.23.0,decode,standard,padded,32,external,x86_64,linux,10,1499.467712,1491.258059,1552.137662
1,base64-0.23.0,decode,standard,padded,47,external,x86_64,linux,10,1797.854172,1732.900876,1836.638818
1,base64-0.23.0,decode,standard,padded,48,external,x86_64,linux,10,1849.679251,1822.514953,1888.266476
1,base64-0.23.0,decode,standard,padded,63,external,x86_64,linux,10,2179.820834,2153.231389,2214.155449
1,base64-0.23.0,decode,standard,padded,64,external,x86_64,linux,10,2182.883894,2156.844666,2202.986479
1,base64-0.23.0,decode,standard,padded,65536,external,x86_64,linux,10,4224.301987,4182.919050,4249.478377
1,base64-0.23.0,decode,standard,unpadded,1,external,x86_64,linux,10,78.940091,78.553412,79.153648
1,base64-0.23.0,decode,standard,unpadded,1024,external,x86_64,linux,10,4024.770716,3994.707013,4074.780369
1,base64-0.23.0,decode,standard,unpadded,11,external,x86_64,linux,10,699.040246,690.046890,723.404058
1,base64-0.23.0,decode,standard,unpadded,12,external,x86_64,linux,10,756.876634,745.326275,762.949058
1,base64-0.23.0,decode,standard,unpadded,15,external,x86_64,linux,10,883.540503,866.172569,901.834578
1,base64-0.23.0,decode,standard,unpadded,16,external,x86_64,linux,10,961.250294,948.316738,971.761108
1,base64-0.23.0,decode,standard,unpadded,2,external,x86_64,linux,10,154.787992,154.425553,155.173099
1,base64-0.23.0,decode,standard,unpadded,23,external,x86_64,linux,10,1181.313498,1150.590813,1210.356370
1,base64-0.23.0,decode,standard,unpadded,24,external,x86_64,linux,10,1210.478884,1151.393160,1235.533696
1,base64-0.23.0,decode,standard,unpadded,3,external,x86_64,linux,10,224.003050,219.015454,224.379101
1,base64-0.23.0,decode,standard,unpadded,31,external,x86_64,linux,10,1530.687764,1455.022902,1567.769522
1,base64-0.23.0,decode,standard,unpadded,32,external,x86_64,linux,10,1558.042068,1518.112986,1588.474032
1,base64-0.23.0,decode,standard,unpadded,47,external,x86_64,linux,10,1867.380932,1840.524586,1896.793505
1,base64-0.23.0,decode,standard,unpadded,48,external,x86_64,linux,10,1848.619686,1811.146809,1878.405088
1,base64-0.23.0,decode,standard,unpadded,63,external,x86_64,linux,10,2191.170555,2146.076898,2234.041755
1,base64-0.23.0,decode,standard,unpadded,64,external,x86_64,linux,10,2242.425887,2223.820902,2261.971342
1,base64-0.23.0,decode,standard,unpadded,65536,external,x86_64,linux,10,4225.821651,4185.680995,4250.928031
