schema_version,backend,operation,alphabet,padding,input_len,target_arch,target_os,median_throughput_mib_s,scalar_median_throughput_mib_s,ratio_to_scalar,status
1,auto,decode,standard,padded,1,x86_64,linux,64.440759,96.140072,0.670280,non-admissible-below-scalar
1,auto,decode,standard,padded,1024,x86_64,linux,142.521596,307.480277,0.463515,non-admissible-below-scalar
1,avx2,decode,standard,padded,1024,x86_64,linux,108.689151,307.480277,0.353483,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,padded,1024,x86_64,linux,141.826909,307.480277,0.461255,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,1024,x86_64,linux,77.963161,307.480277,0.253555,non-admissible-below-scalar
1,auto,decode,standard,padded,11,x86_64,linux,60.003923,259.200941,0.231496,non-admissible-below-scalar
1,auto,decode,standard,padded,12,x86_64,linux,65.579583,273.376252,0.239888,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,12,x86_64,linux,66.778097,273.376252,0.244272,non-admissible-below-scalar
1,auto,decode,standard,padded,15,x86_64,linux,75.279313,285.306222,0.263854,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,15,x86_64,linux,78.359048,285.306222,0.274649,non-admissible-below-scalar
1,auto,decode,standard,padded,16,x86_64,linux,78.649118,277.780155,0.283134,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,16,x86_64,linux,80.791865,277.780155,0.290848,non-admissible-below-scalar
1,auto,decode,standard,padded,2,x86_64,linux,115.030490,163.998107,0.701414,non-admissible-below-scalar
1,auto,decode,standard,padded,23,x86_64,linux,92.023469,280.574747,0.327982,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,23,x86_64,linux,67.864284,280.574747,0.241876,non-admissible-below-scalar
1,auto,decode,standard,padded,24,x86_64,linux,96.036323,296.237681,0.324187,non-admissible-below-scalar
1,avx2,decode,standard,padded,24,x86_64,linux,99.197795,296.237681,0.334859,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,24,x86_64,linux,70.970081,296.237681,0.239571,non-admissible-below-scalar
1,auto,decode,standard,padded,3,x86_64,linux,152.076343,210.568805,0.722217,non-admissible-below-scalar
1,auto,decode,standard,padded,31,x86_64,linux,106.228513,286.568959,0.370691,non-admissible-below-scalar
1,avx2,decode,standard,padded,31,x86_64,linux,111.742873,286.568959,0.389934,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,31,x86_64,linux,82.337617,286.568959,0.287322,non-admissible-below-scalar
