schema_version,category,name,feature_set,value,unit,method
1,stack-bound,in-place-input-staging,simd,768,bytes,source-and-size-of
1,stack-bound,in-place-output-staging,simd,1024,bytes,source-and-size-of
1,adapter-pending-memory,encoder-writer-output-capacity,simd,1024,bytes,source-and-size-of
1,adapter-size,encoder-writer,simd,1080,bytes,source-and-size-of
1,adapter-pending-memory,decoder-writer-output-capacity,simd,1024,bytes,source-and-size-of
1,adapter-size,decoder-writer,simd,1080,bytes,source-and-size-of
1,adapter-pending-memory,encoder-reader-output-capacity,simd,1024,bytes,source-and-size-of
1,adapter-size,encoder-reader,simd,1088,bytes,source-and-size-of
1,adapter-pending-memory,decoder-reader-output-capacity,simd,3,bytes,source-and-size-of
1,adapter-size,decoder-reader,simd,72,bytes,source-and-size-of
