schema_version,engine,operation,alphabet,padding,input_len,backend,target_arch,target_os,sample_count,median_throughput_mib_s,minimum_throughput_mib_s,maximum_throughput_mib_s
1,base64-0.23.0,decode,standard,padded,1,external,x86_64,linux,10,73.945423,73.379685,74.558212
1,base64-0.23.0,decode,standard,padded,1024,external,x86_64,linux,10,3917.354713,3841.057059,4015.157218
1,base64-0.23.0,decode,standard,padded,11,external,x86_64,linux,10,652.958951,643.253118,664.257323
1,base64-0.23.0,decode,standard,padded,12,external,x86_64,linux,10,715.696247,705.157152,722.860221
1,base64-0.23.0,decode,standard,padded,15,external,x86_64,linux,10,844.997733,842.473730,847.182382
1,base64-0.23.0,decode,standard,padded,16,external,x86_64,linux,10,850.981953,796.798464,876.235465
1,base64-0.23.0,decode,standard,padded,2,external,x86_64,linux,10,144.869233,143.877408,145.415817
1,base64-0.23.0,decode,standard,padded,23,external,x86_64,linux,10,1130.018347,956.396909,1142.082212
1,base64-0.23.0,decode,standard,padded,24,external,x86_64,linux,10,1176.688552,1160.280192,1184.497341
1,base64-0.23.0,decode,standard,padded,3,external,x86_64,linux,10,212.380461,191.775883,213.039390
1,base64-0.23.0,decode,standard,padded,31,external,x86_64,linux,10,1411.569602,1367.704762,1463.063352
1,base64-0.23.0,decode,standard,padded,32,external,x86_64,linux,10,1433.498787,1354.523040,1501.679629
1,base64-0.23.0,decode,standard,padded,47,external,x86_64,linux,10,1730.929394,1516.904523,1779.094414
1,base64-0.23.0,decode,standard,padded,48,external,x86_64,linux,10,1794.338833,1664.452136,1830.007545
1,base64-0.23.0,decode,standard,padded,63,external,x86_64,linux,10,2150.835012,2137.849455,2166.186534
1,base64-0.23.0,decode,standard,padded,64,external,x86_64,linux,10,2143.140693,2113.548267,2159.760742
1,base64-0.23.0,decode,standard,padded,65536,external,x86_64,linux,10,4175.593557,4135.602263,4219.075495
1,base64-0.23.0,decode,standard,unpadded,1,external,x86_64,linux,10,78.188362,73.516904,78.986894
1,base64-0.23.0,decode,standard,unpadded,1024,external,x86_64,linux,10,3919.430882,3909.204809,3943.528669
1,base64-0.23.0,decode,standard,unpadded,11,external,x86_64,linux,10,673.471965,657.998653,686.192320
1,base64-0.23.0,decode,standard,unpadded,12,external,x86_64,linux,10,719.929469,704.679248,735.801444
1,base64-0.23.0,decode,standard,unpadded,15,external,x86_64,linux,10,846.020751,825.629927,866.629341
1,base64-0.23.0,decode,standard,unpadded,16,external,x86_64,linux,10,911.393759,888.601772,934.439928
1,base64-0.23.0,decode,standard,unpadded,2,external,x86_64,linux,10,151.357012,134.346896,153.957364
1,base64-0.23.0,decode,standard,unpadded,23,external,x86_64,linux,10,1176.775951,1160.304535,1189.718169
1,base64-0.23.0,decode,standard,unpadded,24,external,x86_64,linux,10,1182.338361,1169.501376,1204.484174
1,base64-0.23.0,decode,standard,unpadded,3,external,x86_64,linux,10,219.248957,214.028195,221.327490
1,base64-0.23.0,decode,standard,unpadded,31,external,x86_64,linux,10,1473.213119,1446.891328,1498.459839
1,base64-0.23.0,decode,standard,unpadded,32,external,x86_64,linux,10,1498.749770,1466.450365,1526.610928
1,base64-0.23.0,decode,standard,unpadded,47,external,x86_64,linux,10,1803.298410,1786.234356,1815.979033
1,base64-0.23.0,decode,standard,unpadded,48,external,x86_64,linux,10,1778.865976,1756.762459,1797.641728
1,base64-0.23.0,decode,standard,unpadded,63,external,x86_64,linux,10,2137.342115,2118.721273,2153.182708
1,base64-0.23.0,decode,standard,unpadded,64,external,x86_64,linux,10,2203.561988,1966.820718,2208.811058
1,base64-0.23.0,decode,standard,unpadded,65536,external,x86_64,linux,10,4190.382585,4015.761865,4223.093353
1,base64-0.23.0,decode,url-safe,padded,1,external,x86_64,linux,10,75.989645,74.543359,76.344047
1,base64-0.23.0,decode,url-safe,padded,1024,external,x86_64,linux,10,3995.166413,3346.216266,4017.500231
1,base64-0.23.0,decode,url-safe,padded,11,external,x86_64,linux,10,669.146602,663.573997,674.166243
1,base64-0.23.0,decode,url-safe,padded,12,external,x86_64,linux,10,727.199994,651.627978,744.024766
1,base64-0.23.0,decode,url-safe,padded,15,external,x86_64,linux,10,848.595118,828.935038,864.366539
1,base64-0.23.0,decode,url-safe,padded,16,external,x86_64,linux,10,873.412662,853.493016,896.871846
1,base64-0.23.0,decode,url-safe,padded,2,external,x86_64,linux,10,149.762405,139.510174,150.622411
1,base64-0.23.0,decode,url-safe,padded,23,external,x86_64,linux,10,1138.538965,1124.227458,1176.491069
1,base64-0.23.0,decode,url-safe,padded,24,external,x86_64,linux,10,1193.191538,1173.264469,1219.513120
1,base64-0.23.0,decode,url-safe,padded,3,external,x86_64,linux,10,220.213026,219.954983,220.649466
1,base64-0.23.0,decode,url-safe,padded,31,external,x86_64,linux,10,1409.151411,1388.490302,1431.899744
1,base64-0.23.0,decode,url-safe,padded,32,external,x86_64,linux,10,1471.287450,1438.188803,1510.274017
1,base64-0.23.0,decode,url-safe,padded,47,external,x86_64,linux,10,1776.605277,1763.160020,1784.756713
1,base64-0.23.0,decode,url-safe,padded,48,external,x86_64,linux,10,1800.780761,1777.497656,1828.022105
1,base64-0.23.0,decode,url-safe,padded,63,external,x86_64,linux,10,2134.540635,1741.605209,2183.101064
1,base64-0.23.0,decode,url-safe,padded,64,external,x86_64,linux,10,2147.941384,2085.515521,2160.181801
1,base64-0.23.0,decode,url-safe,padded,65536,external,x86_64,linux,10,4171.052945,4105.031332,4210.131893
1,base64-0.23.0,decode,url-safe,unpadded,1,external,x86_64,linux,10,77.007640,75.354929,78.036473
1,base64-0.23.0,decode,url-safe,unpadded,1024,external,x86_64,linux,10,3571.404586,2524.834907,3983.028316
1,base64-0.23.0,decode,url-safe,unpadded,11,external,x86_64,linux,10,680.275952,668.920740,692.746793
1,base64-0.23.0,decode,url-safe,unpadded,12,external,x86_64,linux,10,716.123852,693.071477,733.092522
1,base64-0.23.0,decode,url-safe,unpadded,15,external,x86_64,linux,10,842.404000,827.587872,853.412080
1,base64-0.23.0,decode,url-safe,unpadded,16,external,x86_64,linux,10,908.105023,889.250913,943.340160
1,base64-0.23.0,decode,url-safe,unpadded,2,external,x86_64,linux,10,150.908141,147.593530,152.999326
