backend,operation,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
scalar,encode,standard,padded,12,0,1398101,81774970,195.658845
scalar,encode,standard,padded,12,1,1398101,81727870,195.771604
scalar,encode,standard,padded,12,2,1398101,81726465,195.774969
scalar,encode,standard,padded,12,3,1398101,81722572,195.784295
scalar,encode,standard,padded,12,4,1398101,81703248,195.830601
scalar,encode,standard,padded,12,5,1398101,81715926,195.800219
scalar,encode,standard,padded,12,6,1398101,81692702,195.855882
scalar,encode,standard,padded,12,7,1398101,81796571,195.607175
scalar,encode,standard,padded,12,8,1398101,81711710,195.810321
scalar,encode,standard,padded,12,9,1398101,81692543,195.856263
scalar,encode,standard,padded,12,10,1398101,81706327,195.823222
scalar,encode,standard,padded,12,11,1398101,81690846,195.860332
scalar,encode,standard,padded,12,12,1398101,81697211,195.845072
scalar,encode,standard,padded,12,13,1398101,81705222,195.825870
scalar,encode,standard,padded,12,14,1398101,81720554,195.789130
scalar,decode,standard,padded,12,0,1398101,115017443,139.109302
scalar,decode,standard,padded,12,1,1398101,114768643,139.410868
scalar,decode,standard,padded,12,2,1398101,114906261,139.243902
scalar,decode,standard,padded,12,3,1398101,114931875,139.212870
scalar,decode,standard,padded,12,4,1398101,115162167,138.934483
scalar,decode,standard,padded,12,5,1398101,114667080,139.534347
scalar,decode,standard,padded,12,6,1398101,114903046,139.247798
scalar,decode,standard,padded,12,7,1398101,114945859,139.195934
scalar,decode,standard,padded,12,8,1398101,114869385,139.288603
scalar,decode,standard,padded,12,9,1398101,114767091,139.412754
scalar,decode,standard,padded,12,10,1398101,114777922,139.399598
scalar,decode,standard,padded,12,11,1398101,114764329,139.416109
scalar,decode,standard,padded,12,12,1398101,114829863,139.336543
scalar,decode,standard,padded,12,13,1398101,114848607,139.313803
scalar,decode,standard,padded,12,14,1398101,114806995,139.364297
neon,encode,standard,padded,12,0,1398101,22655269,706.237308
neon,encode,standard,padded,12,1,1398101,22648865,706.436997
neon,encode,standard,padded,12,2,1398101,22652067,706.337138
neon,encode,standard,padded,12,3,1398101,22649590,706.414385
neon,encode,standard,padded,12,4,1398101,22654202,706.270571
neon,encode,standard,padded,12,5,1398101,22648119,706.460267
neon,encode,standard,padded,12,6,1398101,22650930,706.372594
neon,encode,standard,padded,12,7,1398101,22654696,706.255170
neon,encode,standard,padded,12,8,1398101,22646351,706.515420
neon,encode,standard,padded,12,9,1398101,22655805,706.220599
neon,encode,standard,padded,12,10,1398101,22647676,706.474085
neon,encode,standard,padded,12,11,1398101,22641141,706.677998
neon,encode,standard,padded,12,12,1398101,22658926,706.123326
neon,encode,standard,padded,12,13,1398101,22650620,706.382262
neon,encode,standard,padded,12,14,1398101,22655375,706.234003
neon,decode,standard,padded,12,0,1398101,63923491,250.299161
neon,decode,standard,padded,12,1,1398101,63975557,250.095457
neon,decode,standard,padded,12,2,1398101,63976697,250.091001
neon,decode,standard,padded,12,3,1398101,64084280,249.671155
neon,decode,standard,padded,12,4,1398101,64144144,249.438143
neon,decode,standard,padded,12,5,1398101,64091586,249.642694
neon,decode,standard,padded,12,6,1398101,64114392,249.553894
neon,decode,standard,padded,12,7,1398101,64157835,249.384914
neon,decode,standard,padded,12,8,1398101,64146561,249.428745
neon,decode,standard,padded,12,9,1398101,64066771,249.739388
neon,decode,standard,padded,12,10,1398101,64129043,249.496881
neon,decode,standard,padded,12,11,1398101,64061448,249.760139
neon,decode,standard,padded,12,12,1398101,64177242,249.309501
neon,decode,standard,padded,12,13,1398101,64118371,249.538407
neon,decode,standard,padded,12,14,1398101,64203701,249.206758
scalar,encode,standard,padded,24,0,699050,73729469,217.009358
scalar,encode,standard,padded,24,1,699050,73728924,217.010962
scalar,encode,standard,padded,24,2,699050,73740081,216.978128
scalar,encode,standard,padded,24,3,699050,73737795,216.984855
scalar,encode,standard,padded,24,4,699050,73851948,216.649461
scalar,encode,standard,padded,24,5,699050,73740175,216.977852
scalar,encode,standard,padded,24,6,699050,73734704,216.993951
scalar,encode,standard,padded,24,7,699050,73738038,216.984140
scalar,encode,standard,padded,24,8,699050,73743049,216.969395
scalar,encode,standard,padded,24,9,699050,73729263,217.009964
scalar,encode,standard,padded,24,10,699050,73730196,217.007218
scalar,encode,standard,padded,24,11,699050,73739704,216.979237
scalar,encode,standard,padded,24,12,699050,73743851,216.967036
scalar,encode,standard,padded,24,13,699050,73725506,217.021023
scalar,encode,standard,padded,24,14,699050,73736547,216.988527
scalar,decode,standard,padded,24,0,699050,114097669,140.230601
scalar,decode,standard,padded,24,1,699050,112887883,141.733411
scalar,decode,standard,padded,24,2,699050,112815577,141.824251
scalar,decode,standard,padded,24,3,699050,112800970,141.842617
scalar,decode,standard,padded,24,4,699050,112796892,141.847745
scalar,decode,standard,padded,24,5,699050,112758436,141.896122
scalar,decode,standard,padded,24,6,699050,112811666,141.829168
scalar,decode,standard,padded,24,7,699050,112795262,141.849795
scalar,decode,standard,padded,24,8,699050,112822332,141.815760
scalar,decode,standard,padded,24,9,699050,112854175,141.775745
scalar,decode,standard,padded,24,10,699050,112986703,141.609449
scalar,decode,standard,padded,24,11,699050,112893317,141.726589
scalar,decode,standard,padded,24,12,699050,112861268,141.766835
scalar,decode,standard,padded,24,13,699050,112838860,141.794987
scalar,decode,standard,padded,24,14,699050,112858081,141.770838
neon,encode,standard,padded,24,0,699050,17539131,912.245010
neon,encode,standard,padded,24,1,699050,17853268,896.193612
