backend,operation,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
scalar,encode,standard,padded,12,0,1398101,56388792,283.744262
scalar,encode,standard,padded,12,1,1398101,40400875,396.030932
scalar,encode,standard,padded,12,2,1398101,36672291,436.296608
scalar,encode,standard,padded,12,3,1398101,36473958,438.669041
scalar,encode,standard,padded,12,4,1398101,36463917,438.789837
scalar,encode,standard,padded,12,5,1398101,36362750,440.010620
scalar,encode,standard,padded,12,6,1398101,36431709,439.177755
scalar,encode,standard,padded,12,7,1398101,36404708,439.503489
scalar,encode,standard,padded,12,8,1398101,36411625,439.419998
scalar,encode,standard,padded,12,9,1398101,36363166,440.005587
scalar,encode,standard,padded,12,10,1398101,36384625,439.746079
scalar,encode,standard,padded,12,11,1398101,36358292,440.064571
scalar,encode,standard,padded,12,12,1398101,36376250,439.847323
scalar,encode,standard,padded,12,13,1398101,36353375,440.124093
scalar,encode,standard,padded,12,14,1398101,36343291,440.246212
scalar,decode,standard,padded,12,0,1398101,67740041,236.197025
scalar,decode,standard,padded,12,1,1398101,67764167,236.112932
scalar,decode,standard,padded,12,2,1398101,67740834,236.194260
scalar,decode,standard,padded,12,3,1398101,67747250,236.171892
scalar,decode,standard,padded,12,4,1398101,67744208,236.182497
scalar,decode,standard,padded,12,5,1398101,67723042,236.256313
scalar,decode,standard,padded,12,6,1398101,67907917,235.613120
scalar,decode,standard,padded,12,7,1398101,67831167,235.879713
scalar,decode,standard,padded,12,8,1398101,67913792,235.592738
scalar,decode,standard,padded,12,9,1398101,67975291,235.379591
scalar,decode,standard,padded,12,10,1398101,68148500,234.781341
scalar,decode,standard,padded,12,11,1398101,68183417,234.661108
scalar,decode,standard,padded,12,12,1398101,67832792,235.874062
scalar,decode,standard,padded,12,13,1398101,67703041,236.326108
scalar,decode,standard,padded,12,14,1398101,67883417,235.698156
neon,encode,standard,padded,12,0,1398101,15446084,1035.861011
neon,encode,standard,padded,12,1,1398101,15494250,1032.640895
neon,encode,standard,padded,12,2,1398101,15459917,1034.934158
neon,encode,standard,padded,12,3,1398101,15470000,1034.259611
neon,encode,standard,padded,12,4,1398101,15502666,1032.080301
neon,encode,standard,padded,12,5,1398101,15445792,1035.880594
neon,encode,standard,padded,12,6,1398101,15491125,1032.849208
neon,encode,standard,padded,12,7,1398101,15466875,1034.468578
neon,encode,standard,padded,12,8,1398101,15438833,1036.347513
neon,encode,standard,padded,12,9,1398101,15452125,1035.456042
neon,encode,standard,padded,12,10,1398101,15438917,1036.341875
neon,encode,standard,padded,12,11,1398101,15460667,1034.883953
neon,encode,standard,padded,12,12,1398101,15438917,1036.341875
neon,encode,standard,padded,12,13,1398101,15438000,1036.403432
neon,encode,standard,padded,12,14,1398101,15508917,1031.664312
neon,decode,standard,padded,12,0,1398101,46098875,347.079971
neon,decode,standard,padded,12,1,1398101,46147083,346.717390
neon,decode,standard,padded,12,2,1398101,46016167,347.703801
neon,decode,standard,padded,12,3,1398101,45965084,348.090220
neon,decode,standard,padded,12,4,1398101,45954125,348.173231
neon,decode,standard,padded,12,5,1398101,46001208,347.816870
neon,decode,standard,padded,12,6,1398101,46556500,343.668364
neon,decode,standard,padded,12,7,1398101,46674209,342.801657
neon,decode,standard,padded,12,8,1398101,46149084,346.702357
neon,decode,standard,padded,12,9,1398101,46539917,343.790819
neon,decode,standard,padded,12,10,1398101,45968500,348.064352
neon,decode,standard,padded,12,11,1398101,46001708,347.813090
neon,decode,standard,padded,12,12,1398101,45969000,348.060567
neon,decode,standard,padded,12,13,1398101,45958709,348.138504
neon,decode,standard,padded,12,14,1398101,45949958,348.204805
scalar,encode,standard,padded,24,0,699050,32161333,497.491343
scalar,encode,standard,padded,24,1,699050,32145417,497.737663
scalar,encode,standard,padded,24,2,699050,32165542,497.426244
scalar,encode,standard,padded,24,3,699050,32197625,496.930589
scalar,encode,standard,padded,24,4,699050,32243542,496.222926
scalar,encode,standard,padded,24,5,699050,32183083,497.155128
scalar,encode,standard,padded,24,6,699050,32165625,497.424960
scalar,encode,standard,padded,24,7,699050,32140958,497.806716
scalar,encode,standard,padded,24,8,699050,32163792,497.453308
scalar,encode,standard,padded,24,9,699050,32176125,497.262636
scalar,encode,standard,padded,24,10,699050,32153209,497.617042
scalar,encode,standard,padded,24,11,699050,32163458,497.458474
scalar,encode,standard,padded,24,12,699050,32145709,497.733142
scalar,encode,standard,padded,24,13,699050,32183708,497.145473
scalar,encode,standard,padded,24,14,699050,32199292,496.904862
scalar,decode,standard,padded,24,0,699050,66810334,239.483681
scalar,decode,standard,padded,24,1,699050,66778708,239.597099
scalar,decode,standard,padded,24,2,699050,66856750,239.317417
scalar,decode,standard,padded,24,3,699050,66818666,239.453819
scalar,decode,standard,padded,24,4,699050,66776750,239.604125
scalar,decode,standard,padded,24,5,699050,66794709,239.539703
scalar,decode,standard,padded,24,6,699050,66774250,239.613095
scalar,decode,standard,padded,24,7,699050,66753875,239.686232
scalar,decode,standard,padded,24,8,699050,66745917,239.714809
scalar,decode,standard,padded,24,9,699050,66751542,239.694609
scalar,decode,standard,padded,24,10,699050,66768250,239.634628
scalar,decode,standard,padded,24,11,699050,66745833,239.715111
scalar,decode,standard,padded,24,12,699050,66767084,239.638813
scalar,decode,standard,padded,24,13,699050,66753459,239.687725
scalar,decode,standard,padded,24,14,699050,66786000,239.570939
neon,encode,standard,padded,24,0,699050,9027542,1772.352290
neon,encode,standard,padded,24,1,699050,9041208,1769.673338
neon,encode,standard,padded,24,2,699050,9021000,1773.637595
neon,encode,standard,padded,24,3,699050,9043875,1769.151469
neon,encode,standard,padded,24,4,699050,9027792,1772.303210
neon,encode,standard,padded,24,5,699050,9027875,1772.286916
neon,encode,standard,padded,24,6,699050,9028417,1772.180521
neon,encode,standard,padded,24,7,699050,9040625,1769.787458
neon,encode,standard,padded,24,8,699050,9025250,1772.802387
neon,encode,standard,padded,24,9,699050,9028542,1772.155985
neon,encode,standard,padded,24,10,699050,9048042,1768.336701
neon,encode,standard,padded,24,11,699050,9025625,1772.728730
neon,encode,standard,padded,24,12,699050,9060791,1765.848560
neon,encode,standard,padded,24,13,699050,9032291,1771.420423
neon,encode,standard,padded,24,14,699050,9027959,1772.270426
neon,decode,standard,padded,24,0,699050,35611959,449.286846
neon,decode,standard,padded,24,1,699050,35554000,450.019259
neon,decode,standard,padded,24,2,699050,35761458,447.408625
neon,decode,standard,padded,24,3,699050,35687042,448.341578
neon,decode,standard,padded,24,4,699050,35805125,446.862977
neon,decode,standard,padded,24,5,699050,35711250,448.037656
neon,decode,standard,padded,24,6,699050,35766500,447.345554
neon,decode,standard,padded,24,7,699050,35774791,447.241879
neon,decode,standard,padded,24,8,699050,35761417,447.409138
neon,decode,standard,padded,24,9,699050,35613083,449.272666
neon,decode,standard,padded,24,10,699050,35799083,446.938396
neon,decode,standard,padded,24,11,699050,35631334,449.042541
neon,decode,standard,padded,24,12,699050,35613500,449.267405
neon,decode,standard,padded,24,13,699050,35579292,449.699357
neon,decode,standard,padded,24,14,699050,36195875,442.038899
