backend,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
scalar,standard,padded,12,0,1398101,54198804,295.209396
scalar,standard,padded,12,1,1398101,54233679,295.019561
scalar,standard,padded,12,2,1398101,55449507,288.550738
scalar,standard,padded,12,3,1398101,54600079,293.039799
scalar,standard,padded,12,4,1398101,53996963,296.312891
scalar,standard,padded,12,5,1398101,54434326,293.932108
scalar,standard,padded,12,6,1398101,55542191,288.069230
scalar,standard,padded,12,7,1398101,55459256,288.500015
scalar,standard,padded,12,8,1398101,56142893,284.987027
scalar,standard,padded,12,9,1398101,56593270,282.719062
scalar,standard,padded,12,10,1398101,56340264,283.988662
scalar,standard,padded,12,11,1398101,56235767,284.516368
scalar,standard,padded,12,12,1398101,55996317,285.733010
scalar,standard,padded,12,13,1398101,55460608,288.492982
scalar,standard,padded,12,14,1398101,55751796,286.986202
ssse3-sse4.1,standard,padded,12,0,1398101,49859676,320.900525
ssse3-sse4.1,standard,padded,12,1,1398101,50254750,318.377789
ssse3-sse4.1,standard,padded,12,2,1398101,49098624,325.874635
ssse3-sse4.1,standard,padded,12,3,1398101,50348597,317.784350
ssse3-sse4.1,standard,padded,12,4,1398101,48998675,326.539364
ssse3-sse4.1,standard,padded,12,5,1398101,48325057,331.091098
ssse3-sse4.1,standard,padded,12,6,1398101,48522409,329.744473
ssse3-sse4.1,standard,padded,12,7,1398101,48259034,331.544063
ssse3-sse4.1,standard,padded,12,8,1398101,48205263,331.913886
ssse3-sse4.1,standard,padded,12,9,1398101,47984427,333.441435
ssse3-sse4.1,standard,padded,12,10,1398101,47874760,334.205251
ssse3-sse4.1,standard,padded,12,11,1398101,47879900,334.169373
ssse3-sse4.1,standard,padded,12,12,1398101,47606165,336.090844
ssse3-sse4.1,standard,padded,12,13,1398101,47669303,335.645692
ssse3-sse4.1,standard,padded,12,14,1398101,47620191,335.991852
scalar,standard,padded,24,0,699050,50911486,314.270629
scalar,standard,padded,24,1,699050,50880908,314.459497
scalar,standard,padded,24,2,699050,50929290,314.160766
scalar,standard,padded,24,3,699050,51595824,310.102320
scalar,standard,padded,24,4,699050,51090973,313.166569
scalar,standard,padded,24,5,699050,50992549,313.771032
scalar,standard,padded,24,6,699050,50972301,313.895673
scalar,standard,padded,24,7,699050,51001746,313.714451
scalar,standard,padded,24,8,699050,51026473,313.562428
scalar,standard,padded,24,9,699050,51188768,312.568272
scalar,standard,padded,24,10,699050,51045237,313.447163
scalar,standard,padded,24,11,699050,51274990,312.042669
scalar,standard,padded,24,12,699050,51110571,313.046488
scalar,standard,padded,24,13,699050,51108788,313.057409
scalar,standard,padded,24,14,699050,51232400,312.302073
ssse3-sse4.1,standard,padded,24,0,699050,33627464,475.801111
ssse3-sse4.1,standard,padded,24,1,699050,33672659,475.162497
ssse3-sse4.1,standard,padded,24,2,699050,33230567,481.483952
ssse3-sse4.1,standard,padded,24,3,699050,33250034,481.202057
ssse3-sse4.1,standard,padded,24,4,699050,33202053,481.897452
ssse3-sse4.1,standard,padded,24,5,699050,33212783,481.741766
ssse3-sse4.1,standard,padded,24,6,699050,33199388,481.936135
ssse3-sse4.1,standard,padded,24,7,699050,33160885,482.495710
ssse3-sse4.1,standard,padded,24,8,699050,33108678,483.256527
ssse3-sse4.1,standard,padded,24,9,699050,33129006,482.960000
ssse3-sse4.1,standard,padded,24,10,699050,33471480,478.018443
ssse3-sse4.1,standard,padded,24,11,699050,35318076,453.025378
ssse3-sse4.1,standard,padded,24,12,699050,33431465,478.590595
ssse3-sse4.1,standard,padded,24,13,699050,33748101,474.100298
ssse3-sse4.1,standard,padded,24,14,699050,33231308,481.473216
avx2,standard,padded,24,0,699050,31990663,500.145456
avx2,standard,padded,24,1,699050,32074151,498.843593
avx2,standard,padded,24,2,699050,32010661,499.833001
avx2,standard,padded,24,3,699050,31840741,502.500389
avx2,standard,padded,24,4,699050,31865587,502.108583
avx2,standard,padded,24,5,699050,31859928,502.197768
avx2,standard,padded,24,6,699050,31829069,502.684660
avx2,standard,padded,24,7,699050,31825141,502.746704
avx2,standard,padded,24,8,699050,31805104,503.063431
avx2,standard,padded,24,9,699050,31788703,503.322981
avx2,standard,padded,24,10,699050,31851912,502.324154
avx2,standard,padded,24,11,699050,31542128,507.257619
avx2,standard,padded,24,12,699050,28859459,554.410418
avx2,standard,padded,24,13,699050,28949670,552.682802
avx2,standard,padded,24,14,699050,28956191,552.558337
scalar,standard,padded,48,0,349525,49716126,321.826860
scalar,standard,padded,48,1,349525,49705977,321.892571
scalar,standard,padded,48,2,349525,49856290,320.922089
scalar,standard,padded,48,3,349525,50580352,316.328062
scalar,standard,padded,48,4,349525,50191410,318.779344
