backend,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
scalar,standard,padded,12,0,1398101,51814565,308.793409
scalar,standard,padded,12,1,1398101,51487520,310.754843
scalar,standard,padded,12,2,1398101,51244703,312.227318
scalar,standard,padded,12,3,1398101,51319835,311.770219
scalar,standard,padded,12,4,1398101,51256044,312.158234
scalar,standard,padded,12,5,1398101,51395077,311.313790
scalar,standard,padded,12,6,1398101,51240035,312.255762
scalar,standard,padded,12,7,1398101,51339131,311.653039
scalar,standard,padded,12,8,1398101,51240635,312.252106
scalar,standard,padded,12,9,1398101,51440562,311.038518
scalar,standard,padded,12,10,1398101,51226800,312.336437
scalar,standard,padded,12,11,1398101,51373195,311.446391
scalar,standard,padded,12,12,1398101,51251035,312.188743
scalar,standard,padded,12,13,1398101,51295940,311.915450
scalar,standard,padded,12,14,1398101,51326858,311.727560
ssse3-sse4.1,standard,padded,12,0,1398101,26183543,611.070709
ssse3-sse4.1,standard,padded,12,1,1398101,25477615,628.002118
ssse3-sse4.1,standard,padded,12,2,1398101,25462475,628.375529
ssse3-sse4.1,standard,padded,12,3,1398101,25436327,629.021485
ssse3-sse4.1,standard,padded,12,4,1398101,25433972,629.079728
ssse3-sse4.1,standard,padded,12,5,1398101,25469850,628.193577
ssse3-sse4.1,standard,padded,12,6,1398101,25461864,628.390607
ssse3-sse4.1,standard,padded,12,7,1398101,25466984,628.264273
ssse3-sse4.1,standard,padded,12,8,1398101,25496069,627.547572
ssse3-sse4.1,standard,padded,12,9,1398101,25471132,628.161959
ssse3-sse4.1,standard,padded,12,10,1398101,25441496,628.893686
ssse3-sse4.1,standard,padded,12,11,1398101,25468036,628.238321
ssse3-sse4.1,standard,padded,12,12,1398101,25538158,626.513321
ssse3-sse4.1,standard,padded,12,13,1398101,25493384,627.613666
ssse3-sse4.1,standard,padded,12,14,1398101,25460342,628.428172
scalar,standard,padded,24,0,699050,47460060,337.125253
scalar,standard,padded,24,1,699050,47420526,337.406311
scalar,standard,padded,24,2,699050,47411267,337.472203
scalar,standard,padded,24,3,699050,47518470,336.710857
scalar,standard,padded,24,4,699050,47438288,337.279978
scalar,standard,padded,24,5,699050,47426407,337.364472
scalar,standard,padded,24,6,699050,47404795,337.518277
scalar,standard,padded,24,7,699050,47408513,337.491807
scalar,standard,padded,24,8,699050,48885162,327.297366
scalar,standard,padded,24,9,699050,48433963,330.346388
scalar,standard,padded,24,10,699050,48456495,330.192779
scalar,standard,padded,24,11,699050,48630212,329.013263
scalar,standard,padded,24,12,699050,48825089,327.700063
scalar,standard,padded,24,13,699050,48687640,328.625186
scalar,standard,padded,24,14,699050,48378759,330.723340
ssse3-sse4.1,standard,padded,24,0,699050,13356620,1197.906712
ssse3-sse4.1,standard,padded,24,1,699050,13388439,1195.059763
ssse3-sse4.1,standard,padded,24,2,699050,13406304,1193.467248
ssse3-sse4.1,standard,padded,24,3,699050,13409770,1193.158775
ssse3-sse4.1,standard,padded,24,4,699050,13405893,1193.503838
ssse3-sse4.1,standard,padded,24,5,699050,13410161,1193.123986
ssse3-sse4.1,standard,padded,24,6,699050,13390584,1194.868330
ssse3-sse4.1,standard,padded,24,7,699050,13454144,1189.223539
ssse3-sse4.1,standard,padded,24,8,699050,13399471,1194.075851
ssse3-sse4.1,standard,padded,24,9,699050,13399090,1194.109805
ssse3-sse4.1,standard,padded,24,10,699050,13427583,1191.575933
ssse3-sse4.1,standard,padded,24,11,699050,13348594,1198.626967
ssse3-sse4.1,standard,padded,24,12,699050,13413467,1192.829918
ssse3-sse4.1,standard,padded,24,13,699050,13405542,1193.535087
ssse3-sse4.1,standard,padded,24,14,699050,13376657,1196.112358
avx2,standard,padded,24,0,699050,13535536,1182.072490
avx2,standard,padded,24,1,699050,13251001,1207.454798
avx2,standard,padded,24,2,699050,12797918,1250.202161
avx2,standard,padded,24,3,699050,12786627,1251.306130
avx2,standard,padded,24,4,699050,12754216,1254.485947
avx2,standard,padded,24,5,699050,12796566,1250.334249
avx2,standard,padded,24,6,699050,12766980,1253.231754
avx2,standard,padded,24,7,699050,12741953,1255.693279
avx2,standard,padded,24,8,699050,13609075,1175.684956
avx2,standard,padded,24,9,699050,12812436,1248.785535
avx2,standard,padded,24,10,699050,12806564,1249.358121
avx2,standard,padded,24,11,699050,12787499,1251.220801
avx2,standard,padded,24,12,699050,12787338,1251.236555
avx2,standard,padded,24,13,699050,12807907,1249.227117
avx2,standard,padded,24,14,699050,12739859,1255.899672
scalar,standard,padded,48,0,349525,46700460,342.608718
scalar,standard,padded,48,1,349525,46646329,343.006300
scalar,standard,padded,48,2,349525,46362183,345.108528
scalar,standard,padded,48,3,349525,45863335,348.862217
scalar,standard,padded,48,4,349525,45835382,349.074973
scalar,standard,padded,48,5,349525,45628242,350.659680
scalar,standard,padded,48,6,349525,45535066,351.377216
scalar,standard,padded,48,7,349525,45608495,350.811504
scalar,standard,padded,48,8,349525,45525879,351.448123
scalar,standard,padded,48,9,349525,45510370,351.567890
scalar,standard,padded,48,10,349525,45510260,351.568739
scalar,standard,padded,48,11,349525,45486144,351.755135
scalar,standard,padded,48,12,349525,45582456,351.011906
scalar,standard,padded,48,13,349525,45472569,351.860145
scalar,standard,padded,48,14,349525,45481515,351.790936
ssse3-sse4.1,standard,padded,48,0,349525,8018161,1995.468131
ssse3-sse4.1,standard,padded,48,1,349525,8045874,1988.594992
ssse3-sse4.1,standard,padded,48,2,349525,8047247,1988.255703
ssse3-sse4.1,standard,padded,48,3,349525,8056834,1985.889835
ssse3-sse4.1,standard,padded,48,4,349525,8053729,1986.655466
ssse3-sse4.1,standard,padded,48,5,349525,8054370,1986.497360
ssse3-sse4.1,standard,padded,48,6,349525,8050503,1987.451559
ssse3-sse4.1,standard,padded,48,7,349525,7257340,2204.662416
ssse3-sse4.1,standard,padded,48,8,349525,7086078,2257.946461
ssse3-sse4.1,standard,padded,48,9,349525,7113980,2249.090487
ssse3-sse4.1,standard,padded,48,10,349525,7165737,2232.845657
ssse3-sse4.1,standard,padded,48,11,349525,7108780,2250.735674
ssse3-sse4.1,standard,padded,48,12,349525,7096768,2254.545272
ssse3-sse4.1,standard,padded,48,13,349525,7089825,2256.753127
ssse3-sse4.1,standard,padded,48,14,349525,7095846,2254.838217
avx2,standard,padded,48,0,349525,7033628,2274.784043
avx2,standard,padded,48,1,349525,7003201,2284.667360
avx2,standard,padded,48,2,349525,7047715,2270.237196
avx2,standard,padded,48,3,349525,7018030,2279.839890
avx2,standard,padded,48,4,349525,7036263,2273.932163
avx2,standard,padded,48,5,349525,7073003,2262.120452
avx2,standard,padded,48,6,349525,6553695,2441.368532
avx2,standard,padded,48,7,349525,6412840,2494.992038
avx2,standard,padded,48,8,349525,6410446,2495.923800
