id	public_symbol	family	source	errata	requirements	corpus_case	reference	version	checksum
strict-standard-padded	STRICT_STANDARD_PADDED	rfc4648-standard	rfc/rfc4648.txt	rfc/rfc4648-errata.tsv	rfc/rfc4648-requirements.json	core-standard-padded	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
strict-standard-unpadded	STRICT_STANDARD_UNPADDED	rfc4648-standard	rfc/rfc4648.txt	rfc/rfc4648-errata.tsv	rfc/rfc4648-requirements.json	core-standard-unpadded	base64ct	1.8.3	2af50177e190e07a26ab74f8b1efbfe2ef87da2116221318cb1c2e82baf7de06
strict-url-safe-padded	STRICT_URL_SAFE_PADDED	rfc4648-url-safe	rfc/rfc4648.txt	rfc/rfc4648-errata.tsv	rfc/rfc4648-requirements.json	core-url-padded	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
strict-url-safe-unpadded	STRICT_URL_SAFE_UNPADDED	rfc4648-url-safe	rfc/rfc4648.txt	rfc/rfc4648-errata.tsv	rfc/rfc4648-requirements.json	core-url-unpadded	base64ct	1.8.3	2af50177e190e07a26ab74f8b1efbfe2ef87da2116221318cb1c2e82baf7de06
mime-body-strict	MIME_BODY_STRICT	body-layout	rfc/rfc2045.txt	rfc/rfc2045-errata.tsv	rfc/rfc2045-requirements.json	core-standard-padded	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
pem-body-lf	PEM_BODY_LF	body-layout	rfc/rfc7468.txt	rfc/rfc7468-errata.tsv	rfc/rfc7468-requirements.json	core-standard-padded	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
pem-body-crlf	PEM_BODY_CRLF	body-layout	rfc/rfc7468.txt	rfc/rfc7468-errata.tsv	rfc/rfc7468-requirements.json	core-standard-padded	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
bcrypt-alphabet	BCRYPT_ALPHABET_NO_PAD	custom-alphabet	spec/password/SHA-crypt.txt	spec/password/ERRATA.tsv	spec/password/requirements.json	core-bcrypt	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
crypt-alphabet	CRYPT_ALPHABET_NO_PAD	custom-alphabet	spec/password/SHA-crypt.txt	spec/password/ERRATA.tsv	spec/password/requirements.json	core-crypt	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
pbkdf2-alphabet	PBKDF2_ALPHABET_NO_PAD	custom-alphabet	spec/password/passlib-1.7.4-pbkdf2.rst	spec/password/ERRATA.tsv	spec/password/requirements.json	core-pbkdf2	base64ct	1.8.3	2af50177e190e07a26ab74f8b1efbfe2ef87da2116221318cb1c2e82baf7de06
imap-alphabet	IMAP_MUTF7_ALPHABET_NO_PAD	custom-alphabet	rfc/rfc3501.txt	rfc/rfc3501-errata.tsv	rfc/rfc3501-requirements.json	core-imap	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
binhex-alphabet	BINHEX_ALPHABET	custom-alphabet	rfc/rfc4648.txt	rfc/rfc4648-errata.tsv	rfc/rfc4648-requirements.json	core-binhex	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
standard-padded-indifferent	STANDARD_PADDED_PADDING_INDIFFERENT	compatibility-padding	rfc/rfc4648.txt	rfc/rfc4648-errata.tsv	rfc/rfc4648-requirements.json	core-padding-indifferent	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
standard-unpadded-indifferent	STANDARD_UNPADDED_PADDING_INDIFFERENT	compatibility-padding	rfc/rfc4648.txt	rfc/rfc4648-errata.tsv	rfc/rfc4648-requirements.json	core-padding-indifferent	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
url-padded-indifferent	URL_SAFE_PADDED_PADDING_INDIFFERENT	compatibility-padding	rfc/rfc4648.txt	rfc/rfc4648-errata.tsv	rfc/rfc4648-requirements.json	core-padding-indifferent	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
url-unpadded-indifferent	URL_SAFE_UNPADDED_PADDING_INDIFFERENT	compatibility-padding	rfc/rfc4648.txt	rfc/rfc4648-errata.tsv	rfc/rfc4648-requirements.json	core-padding-indifferent	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
standard-padded-trailing	STANDARD_PADDED_ALLOW_NONCANONICAL_TRAILING_BITS	compatibility-trailing-bits	rfc/rfc4648.txt	rfc/rfc4648-errata.tsv	rfc/rfc4648-requirements.json	core-noncanonical-trailing	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
standard-unpadded-trailing	STANDARD_UNPADDED_ALLOW_NONCANONICAL_TRAILING_BITS	compatibility-trailing-bits	rfc/rfc4648.txt	rfc/rfc4648-errata.tsv	rfc/rfc4648-requirements.json	core-noncanonical-trailing	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
url-padded-trailing	URL_SAFE_PADDED_ALLOW_NONCANONICAL_TRAILING_BITS	compatibility-trailing-bits	rfc/rfc4648.txt	rfc/rfc4648-errata.tsv	rfc/rfc4648-requirements.json	core-noncanonical-trailing	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
url-unpadded-trailing	URL_SAFE_UNPADDED_ALLOW_NONCANONICAL_TRAILING_BITS	compatibility-trailing-bits	rfc/rfc4648.txt	rfc/rfc4648-errata.tsv	rfc/rfc4648-requirements.json	core-noncanonical-trailing	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
standard-padded-full	STANDARD_PADDED_FULL_COMPATIBILITY	full-compatibility	rfc/rfc4648.txt	rfc/rfc4648-errata.tsv	rfc/rfc4648-requirements.json	core-full-compatibility	base64	0.23.0	b25655df2c3cdd83c5e5b293b88acd880332b2ddadd7c30ac43144fdc0033da9
